"Date","Url","Author","Full.Text"
"2024-04-13 14:00:02.0","http://twitter.com/Titans/statuses/1779147536395284495","Titans","Happy Birthday @erob50! 🥳 https://t.co/SwIpPcrNUj"
"2024-04-12 22:28:10.0","https://www.instagram.com/p/C5rZ2d2rQGf/","titans","Relentless & Resilient"
"2024-04-12 22:06:43.0","http://twitter.com/Titans/statuses/1778907625956008205","Titans","Relentless & Resilient https://t.co/ZYP1Zz6Ywx"
"2024-04-12 20:04:59.0","https://www.instagram.com/p/C5rJdvHOVqC/","titans","Welcome to Nashville roy.money.25 👋"
"2024-04-12 20:02:41.0","http://twitter.com/Titans/statuses/1778876411794612593","Titans","RT @jwyattsports The @Titans have acquired tackle @LeroyWatson77 in a trade with the @Browns. The Titans traded a 2024 seventh-round pick (#227) to Cleveland for Watson. MORE https://t.co/Kp5dQjt0Uj https://t.co/HXZXqE0vrn"
"2024-04-12 20:02:02.0","http://twitter.com/Titans/statuses/1778876249651171638","Titans","Welcome to Nashville, @LeroyWatson77! 👋 https://t.co/36ucNhXBtg"
"2024-04-12 20:00:50.0","http://twitter.com/Titans/statuses/1778875949368430962","Titans","We have agreed to a trade with the Cleveland Browns for T Leroy Watson https://t.co/GbKTC5t4M3"
"2024-04-12 16:52:43.0","http://twitter.com/Titans/statuses/1778828605268647985","Titans","RT @jwyattsports ""What happens if this player's there? What happens if that player is there? Would we be comfortable with this player over that player?"" @Titans discussing every possible scenario leading up to NFL Draft. READ https://t.co/z9tbwyKXRP https://t.co/FAmgeRC3rl"
"2024-04-11 21:00:00.0","http://twitter.com/Titans/statuses/1778528451630432575","Titans","Celebrate the first round of the 2024 NFL Draft at Nissan Stadium at the Titans Draft Party presented by @titansbanking This FREE event includes current and former Titans players, locker room tours, photo opps, inflatables, and more! Claim your 🎟️ » https://t.co/LqpsXBNrOv https://t.co/PGuJqEaRER"
"2024-04-10 22:45:00.0","http://twitter.com/Titans/statuses/1778192484788555932","Titans","Join us at 7 PM tonight for our Titans Tourney! Don't forget to sign in prior to the start of event 🎮"
"2024-04-10 22:23:12.0","https://www.instagram.com/p/C5mPsT5LB7s/","titans","Offseason gains 💪"
"2024-04-10 22:20:00.0","http://twitter.com/Titans/statuses/1778186193395720705","Titans","Back to work 📈📈📈 https://t.co/dwXEF5Dyi0"
"2024-04-10 22:05:09.0","http://twitter.com/Titans/statuses/1778182456061141107","Titans","Offseason gains 💪 https://t.co/y2YkOmvUge"
"2024-04-10 20:16:29.0","http://twitter.com/Titans/statuses/1778155108649275519","Titans","@Titans 📺: Watch @nflnetwork for more coverage"
"2024-04-10 19:20:55.0","http://twitter.com/Titans/statuses/1778141128669172089","Titans","RT @jwyattsports ""I think these guys have done a great job embracing the newness of it all, and the excitement of what's to come."" @Titans HC Brian Callahan's opening message to team centers on resiliency, relentlessness. READ https://t.co/CS4Z3GWA5Z https://t.co/hLV1NRqbzp"
"2024-04-10 18:27:40.0","http://twitter.com/Titans/statuses/1778127725095539152","Titans","""You see the smile on my face?"" 😁 DC Dennard Wilson on the additions of @jay__sneed & @ChidobeAwuzie https://t.co/Bfc5Gl1vMQ"
"2024-04-10 18:06:09.0","http://twitter.com/Titans/statuses/1778122309196202086","Titans","""If there is a guy that is deserving of the deal we gave him, he's certainly that guy"" OC Nick Holz on WR @CalvinRidley1 https://t.co/RaZyR8dqud"
"2024-04-10 17:54:16.0","http://twitter.com/Titans/statuses/1778119322415567036","Titans","""I think they change the whole demeanor of what you ask in the secondary"" HC Brian Callahan on @jay__sneed and the Titans CBs https://t.co/g8SzjzYINk"
"2024-04-10 17:52:02.0","http://twitter.com/Titans/statuses/1778118757128286262","Titans","""He's got an intensity and intent every time he walks into the building"" HC Brian Callahan on Titans QB @will_levis' work ethic in the offseason https://t.co/KOvAegYwWZ"
"2024-04-10 17:15:17.0","http://twitter.com/Titans/statuses/1778109511129244039","Titans","Live Press Conference: 12:15 PM CT: Head Coach Brian Callahan, OC Nick Holz, DC Dennard Wilson https://t.co/mqdYCLThaT"
"2024-04-10 15:46:27.0","http://twitter.com/Titans/statuses/1778087154012295475","Titans","RT @jwyattsports ""There's room for a young wideout on this roster."" @MelKiperESPN tabs tackle, receiver to @Titans in latest two-round mock draft. READ https://t.co/Ri15AQqfwV https://t.co/WFVUZyAKMF"
"2024-04-10 14:48:10.0","http://twitter.com/Titans/statuses/1778072486950645911","Titans","Congrats @PredsNHL on clinching a playoff spot last night! The Titans and all of Smashville will be cheering you on in your pursuit of the Cup! https://t.co/nIBGUwzsHw"
"2024-04-05 19:43:59.0","http://twitter.com/Titans/statuses/1776334993800704342","Titans","RT @PLinUSA Football meets football with the @titans ⚽️🏈 #PLinNashville https://t.co/9rO8JGvtmx"
"2024-04-05 19:43:40.0","http://twitter.com/Titans/statuses/1776334910405423435","Titans","Lookin good, lads"
"2024-04-05 19:36:19.0","http://twitter.com/Titans/statuses/1776333063884059041","Titans","RT @PLinUSA Getting the full 🏈 experience with @Titans Tight End @ChigTweets 🤝 #PLinNashville https://t.co/ep5JKSnCIb"
"2024-04-05 19:00:01.0","http://twitter.com/Titans/statuses/1776323928946098288","Titans","Don't forget to get your tickets for the FREE Titans Draft party one April 25! Presented by @titansbanking Hang with us at Nissan Stadium as we watch the first round of the 2024 NFL Draft"
"2024-04-05 15:19:11.0","https://www.instagram.com/p/C5YnMV6L2wn/","titans","⬆️ Titans new numbers ⬆️"
"2024-04-05 15:16:25.0","http://twitter.com/Titans/statuses/1776267657303478477","Titans","@Titans 1⃣1⃣ - @Rudolph2Mason 5⃣3⃣ - @saahdiq 6⃣9⃣ - @SJD_51 more updates » https://t.co/47WxHy1Esw"
"2024-04-05 15:11:23.0","http://twitter.com/Titans/statuses/1776266391936462922","Titans","⬇️new numbers ⬇️ 0⃣ - @CalvinRidley1 1⃣3⃣ - @ChidobeAwuzie 2⃣0⃣ - @Tp__5 3⃣8⃣ - @jay__sneed https://t.co/LbFnBgjTR8"
"2024-04-04 14:45:56.0","http://twitter.com/Titans/statuses/1775897599192727573","Titans","RT @jwyattsports “I’ve tried not to shed tears, but I was just thinking about how blessed I am.” New @Titans CB L'Jarius Sneed @jay__sneed thankful to be vessel of God for his family. STORY https://t.co/NPwFA2orji https://t.co/OA9pWAs82I"
"2024-04-04 14:00:02.0","http://twitter.com/Titans/statuses/1775886046477312454","Titans","Happy Birthday @kbull53! 🥳 https://t.co/4HHNUNF1L3"
"2024-04-03 17:30:00.0","http://twitter.com/Titans/statuses/1775576497857675273","Titans","Next Titans Tourney coming up April 10th! 🎮⤵️"
"2024-04-03 17:26:16.0","http://twitter.com/Titans/statuses/1775575557280813083","Titans","RT @jwyattsports ""We were always going to add a quarterback, and we still may add another one. It's just what we're supposed to do. We're supposed to create competition in the room."" @Titans QBs Mason Rudolph, Malik Willis to compete behind starter Will Levis. READ https://t.co/O6Y4JK6h2K https://t.co/EjwrIXmoVy"
"2024-04-03 14:13:52.0","http://twitter.com/Titans/statuses/1775527139443441695","Titans","RT @jay__sneed Luxurious Ljarius can singggg tooo 😂"
"2024-04-02 21:15:00.0","http://twitter.com/Titans/statuses/1775270732391490035","Titans","Sounds like @jay__sneed is gonna fit in just fine in the Music City 🎶 https://t.co/ln8gLfykzH"
"2024-04-02 20:27:45.0","http://twitter.com/Titans/statuses/1775258843720679621","Titans","Wassup? 😂 https://t.co/7RdBzWx9t5"
"2024-04-02 20:19:41.0","https://www.instagram.com/p/C5RbMp_udqd/","titans","New beginnings in Nashville"
"2024-04-02 20:19:07.0","http://twitter.com/Titans/statuses/1775256669510852993","Titans","A warm welcome to Nashville 🤝 https://t.co/p214iA4Dwn"
"2024-04-02 17:52:17.0","http://twitter.com/Titans/statuses/1775219717143208030","Titans","RT @jwyattsports New @Titans CB L'Jarius Sneed @jay__sneed ready to bring swagger to Tennessee. ""I don't fear anything. I am not afraid to lose, but I am going to win most of my reps."" READ https://t.co/D3WGCJmtAg https://t.co/eLU2hare4c"
